file,model,model-long,codon model,description,tree-length,Lnl,np,kappa,omega,dN,dS
OG0005438,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.002,-3764.47464,26,3.48247,0.11841,0.1105,0.9331
OG0009606,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.46964,-3459.49596,26,3.54011,0.08039,0.037,0.4601
OG0012310,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.64975,-907.372487,26,2.97343,0.12909,0.0814,0.6307
OG0009440,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.63963,-6066.251106,26,2.26006,0.20547,0.2841,1.3826
OG0013931,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.35611,-6299.511982,26,3.51116,0.09989,0.0352,0.352
OG0010354,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.72748,-1649.198069,26,2.36966,0.22748,0.1258,0.553
OG0007816,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.10922,-4440.772905,26,2.47474,0.07034,0.0813,1.1557
OG0009995,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.60525,-2007.746787,26,2.15538,0.05863,0.0605,1.0325
OG0007586,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.55546,-1310.280126,26,2.22594,0.14575,0.0763,0.5237
OG0010664,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.78037,-1259.518515,26,3.30945,0.36812,0.171,0.4644
OG0005342,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.56811,-2403.643728,26,4.78918,0.29927,0.1177,0.3932
OG0010015,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.34789,-556.398797,26,3.20275,0.43136,0.0841,0.195
OG0006994,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.52464,-5849.821897,26,2.49661,0.10567,0.0547,0.5176
OG0011051,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.56525,-8539.898378,26,2.18468,0.16145,0.0811,0.5024
OG0009117,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.66027,-1230.77217,26,1.76137,0.13285,0.081,0.6094
OG0010150,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.71589,-3616.551007,26,2.38204,0.2116,0.1208,0.5707
OG0009850,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.55788,-3120.762362,26,2.80311,0.07557,0.0439,0.5814
OG0012533,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.72518,-2315.45759,26,2.62289,0.15456,0.245,1.5852
OG0011712,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.61862,-5320.717908,26,3.48321,0.31394,0.1268,0.4038
OG0011311,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.38711,-8229.973681,26,2.94627,0.18471,0.0593,0.321
OG0013476,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.30142,-3132.892604,26,1.35879,0.30982,0.2885,0.9313
OG0012406,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.85527,-4460.28275,26,2.84693,0.07342,0.0771,1.0502
OG0008053,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.34897,-2469.372586,26,1.80639,0.39504,0.3217,0.8144
OG0006595,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.59977,-3985.620059,26,2.72327,0.25411,0.1135,0.4466
OG0012034,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.41447,-8483.35122,26,3.91317,0.19542,0.0646,0.3304
OG0007210,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.51565,-3477.835779,26,3.91326,0.16864,0.2557,1.516
OG0012279,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.47548,-2496.155697,26,2.30176,0.09988,0.0529,0.5298
OG0010053,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.18068,-1175.417853,26,5.30986,0.23092,0.0303,0.1314
OG0012736,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.08552,-1755.744035,26,1.88632,0.15476,0.1679,1.0849
OG0007728,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.66029,-2741.614809,26,3.06817,0.39152,0.1523,0.3889
OG0012696,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.32986,-4457.013987,26,3.06147,0.17808,0.2266,1.2725
OG0007078,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.9792,-6245.247645,26,1.87087,0.16355,0.1389,0.8492
OG0007282,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.56968,-7112.466675,26,2.75442,0.30259,0.1183,0.3909
OG0006216,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.01612,-2092.645599,26,2.14721,0.18435,0.1557,0.8446
OG0009480,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,19.76976,-8548.991849,26,1.46487,0.04496,1.1854,26.3647
OG0007776,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.28034,-5745.858412,26,2.78873,0.11508,0.174,1.5119
OG0006052,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.88274,-1550.366947,26,2.54759,0.0713,0.1782,2.4994
OG0011308,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.44623,-10381.487387,26,3.80915,0.11129,0.0452,0.406
OG0005771,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.42034,-5182.287209,26,3.50354,0.10571,0.0408,0.3863
OG0011514,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.64038,-4548.00566,26,2.03793,0.26439,0.1236,0.4676
OG0007624,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.67394,-2563.598583,26,4.93909,0.22277,0.1101,0.4944
OG0008894,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.83571,-466.768268,26,1.24413,0.38691,0.2122,0.5484
OG0013278,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.21375,-7776.740409,26,2.85231,0.20534,0.1973,0.961
OG0008765,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.92066,-5101.102585,26,6.17836,0.07466,0.0896,1.2006
OG0013895,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.55722,-3155.617346,26,1.92169,0.18667,0.0877,0.4697
OG0007689,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.07686,-3874.230749,26,2.1968,0.16644,0.1692,1.0167
OG0007439,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.13442,-8804.113939,26,2.94555,0.30518,0.2319,0.7598
OG0012623,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.71999,-3441.800001,26,3.41342,0.37684,0.1635,0.434
OG0007359,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.59947,-4491.987891,26,4.93691,0.29232,0.112,0.3831
OG0009660,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.36521,-4836.432273,26,3.47317,0.07398,0.0288,0.389
OG0011879,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.94847,-5152.871436,26,1.93279,0.41274,0.4759,1.1531
OG0006395,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.70436,-8312.849739,26,2.71258,0.04794,0.037,0.7722
OG0007857,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.90343,-4440.359497,26,4.253,0.21216,0.1452,0.6845
OG0006810,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.52161,-2872.511921,26,4.03471,0.19306,0.0728,0.377
OG0011482,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.83675,-4094.803902,26,3.86463,0.37873,0.1899,0.5014
OG0007488,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.85068,-3519.312828,26,1.99158,0.30312,0.1795,0.5923
OG0007772,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.18006,-4501.92224,26,3.58495,0.17166,0.195,1.1363
OG0013580,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.75956,-8947.570234,26,1.84093,0.37453,0.4219,1.1264
OG0007733,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.74698,-3300.520404,26,2.09366,0.47952,0.4507,0.94
OG0011903,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.35199,-923.264075,26,2.49626,0.02645,0.0112,0.4236
OG0009567,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.51329,-6307.145573,26,2.89895,0.24954,0.0953,0.3819
OG0011525,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.55191,-3187.384952,26,3.1261,0.19705,0.0849,0.4309
OG0007924,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.8885,-7455.202642,26,2.46492,0.27736,0.1716,0.6188
OG0013145,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.64028,-8262.801461,26,4.22761,0.3537,0.1396,0.3946
OG0007134,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.88939,-8976.201803,26,3.07487,0.38635,0.2138,0.5535
OG0008361,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.87888,-8951.881749,26,2.13527,0.39736,0.2051,0.5161
OG0005994,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.34839,-4264.278606,26,1.64214,0.2825,0.2681,0.9489
OG0007713,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.5476,-6997.77834,26,3.70568,0.15904,0.073,0.4589
OG0012548,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.959,-5550.699484,26,4.12604,0.48659,0.2497,0.5131
OG0010481,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.02818,-11925.446951,26,3.3577,0.06979,0.1037,1.4858
OG0013882,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.00078,-1070.172523,26,3.75853,0.36821,0.2266,0.6153
OG0011253,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.4564,-2791.583581,26,3.99802,0.10338,0.043,0.4156
OG0010439,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.58568,-976.118586,26,3.16224,0.20878,0.101,0.4837
OG0013527,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.51759,-5562.368156,26,3.07352,0.2166,0.0913,0.4214
OG0012702,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,2.10973,-3799.072687,26,1.84172,0.25651,0.4345,1.6938
OG0005669,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.95051,-1440.85638,26,2.61947,0.27091,0.1938,0.7154
OG0009996,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.9704,-9636.649654,26,1.60021,0.29167,0.2022,0.6931
OG0010995,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.36195,-3957.936826,26,3.75934,0.11666,0.0404,0.3466
OG0007254,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.17053,-2056.624766,26,4.63127,0.04571,0.0583,1.2764
OG0006763,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.07588,-1513.202953,26,3.18963,0.25854,0.1993,0.7709
OG0006000,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.50985,-6438.622314,26,3.10616,0.22119,0.0849,0.3837
OG0008523,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.93492,-3333.648723,26,3.42509,0.24796,0.1694,0.6831
OG0008544,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.43527,-3099.28016,26,3.97268,0.11275,0.0452,0.4005
OG0006452,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.40645,-4110.531053,26,3.67689,0.20435,0.065,0.3183
OG0012872,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.61198,-2560.28744,26,3.59691,0.29276,0.1159,0.3959
OG0006680,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.55969,-6920.124042,26,3.87039,0.21294,0.0943,0.4427
OG0013614,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.48363,-2178.322751,26,2.66207,0.19388,0.0794,0.4096
OG0005904,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.67456,-2189.103518,26,3.56942,0.14943,0.0897,0.6005
OG0007724,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.57723,-15361.654983,26,4.65904,0.19607,0.0807,0.4115
OG0010883,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.42393,-3480.15277,26,3.80774,0.05018,0.0218,0.4337
OG0012633,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.72203,-4173.81414,26,3.04787,0.15459,0.0982,0.635
OG0010338,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.38359,-1932.174822,26,2.96059,0.08337,0.0318,0.381
OG0012221,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.26445,-6613.544927,26,3.13791,0.26647,0.2528,0.9487
OG0009532,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.35797,-2007.39463,26,4.99118,0.14041,0.0431,0.3068
OG0009241,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.66732,-12507.889862,26,2.96867,0.14444,0.0863,0.5973
OG0013803,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.5891,-1646.544987,26,2.10262,0.27661,0.118,0.4266
OG0010385,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.71971,-3679.0265,26,2.29334,0.1874,0.1128,0.602
OG0007558,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.02871,-3872.73124,26,2.66782,0.47669,0.2763,0.5797
OG0009482,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.83385,-18318.156871,26,3.23052,0.12777,0.2196,1.719
OG0012267,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.17275,-6548.517735,26,2.41253,0.3923,0.2912,0.7422
OG0011677,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.96136,-5234.038357,26,3.66972,0.13195,0.1289,0.9773
OG0006202,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.54883,-5754.355392,26,2.59182,0.10858,0.0542,0.4989
OG0008308,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.24465,-3147.041241,26,2.70481,0.17435,0.1885,1.081
OG0013638,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.74001,-13471.886714,26,3.30186,0.19952,0.112,0.5613
OG0011182,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.83069,-3302.471313,26,2.18438,0.21066,0.1361,0.6459
OG0013524,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.02198,-16526.134958,26,2.89467,0.40725,0.2469,0.6063
OG0005300,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.08618,-1528.243919,26,1.80508,0.17476,0.165,0.9443
OG0013661,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.02098,-3701.937773,26,1.27883,0.35484,0.2289,0.645
OG0007942,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.81236,-1164.834327,26,3.14777,0.30738,0.172,0.5596
OG0009795,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.23145,-5166.667237,26,2.60541,0.13344,0.1565,1.1727
OG0008672,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.25317,-2932.719127,26,3.30086,0.1068,0.0265,0.2479
OG0011424,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.99302,-6452.079675,26,2.9843,0.46816,0.2573,0.5495
OG0006228,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.82751,-6867.498538,26,2.90651,0.20465,0.1305,0.6376
OG0013620,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.23923,-1755.850205,26,2.51279,0.31504,0.0484,0.1536
OG0006405,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.14844,-4054.097644,26,2.58805,0.44792,0.2868,0.6402
OG0010624,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.50872,-2478.681557,26,4.1806,0.07042,0.0398,0.5649
OG0007596,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.56389,-7551.719029,26,3.07712,0.2573,0.1122,0.4359
OG0010857,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.95332,-4386.38602,26,6.50961,0.02733,0.0418,1.5302
OG0013802,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.53154,-6115.581196,26,2.91686,0.18462,0.0811,0.4391
OG0007634,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.98359,-2229.595095,26,3.22517,0.15667,0.1361,0.8688
OG0010262,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.33316,-1136.681629,26,4.2652,0.00629,0.0023,0.373
OG0007848,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.33553,-4784.424683,26,2.87914,0.1613,0.0485,0.3007
OG0005569,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.69625,-3336.261114,26,2.09484,0.18133,0.1065,0.5872
OG0010020,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.52238,-1513.381508,26,1.77251,0.64215,0.1538,0.2394
OG0005602,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.7982,-2755.038047,26,2.24138,0.22092,0.1327,0.6006
OG0006344,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.58034,-5275.286022,26,2.48179,0.1202,0.0641,0.5332
OG0012337,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.71741,-3326.695404,26,2.15576,0.2906,0.1428,0.4913
OG0011664,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.89786,-2056.591215,26,3.05563,0.2235,0.1493,0.668
OG0011210,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.74675,-4357.940247,26,3.42802,0.32833,0.158,0.4812
OG0008718,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.54545,-3308.124677,26,3.40665,0.09562,0.0494,0.5168
OG0007609,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.92404,-2678.331046,26,1.99185,0.42175,0.2241,0.5314
OG0011641,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.60937,-5119.221504,26,3.69591,0.07745,0.048,0.6202
OG0013762,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.70735,-7520.634606,26,3.2257,0.43796,0.4193,0.9573
OG0012863,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.61234,-3688.60808,26,3.52169,0.29831,0.1236,0.4142
OG0008516,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.26553,-4312.660327,26,2.66935,0.25059,0.2332,0.9305
OG0013771,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.02592,-5730.580959,26,2.82558,0.34312,0.2299,0.67
OG0007002,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.85496,-3000.674426,26,3.04745,0.40293,0.2053,0.5096
OG0007431,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.17603,-2765.280997,26,2.03361,0.22498,0.2044,0.9086
OG0009016,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.36477,-3327.963303,26,3.92215,0.14618,0.0482,0.3295
OG0010715,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.43768,-1748.440488,26,2.48141,0.11353,0.0516,0.4546
OG0011645,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.38346,-3858.882148,26,3.6449,0.00863,0.0038,0.4354
OG0013032,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.03617,-2436.428098,26,3.78646,0.13569,0.1362,1.0036
OG0012530,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.63046,-4236.667366,26,2.98211,0.15077,0.0828,0.5493
OG0011064,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.42476,-3131.730288,26,6.00484,0.20109,0.0625,0.3106
OG0007168,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.41995,-2767.928602,26,2.40826,0.09634,0.0419,0.4345
OG0010166,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.4035,-3598.974911,26,2.5522,0.14151,0.2577,1.8213
OG0007535,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.97148,-4401.543219,26,3.77065,0.54598,0.2653,0.4859
OG0008016,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.43684,-2047.446692,26,2.83774,0.06155,0.0275,0.4461
OG0011932,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.97455,-3954.70263,26,2.80315,0.42083,0.2321,0.5515
OG0008320,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.6128,-10817.48906,26,3.08779,0.23507,0.1072,0.4562
OG0011626,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.15883,-8255.754817,26,3.38127,0.58768,0.322,0.5479
OG0012342,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.68112,-21027.070243,26,2.76384,0.16576,0.0981,0.5917
OG0010537,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.38215,-3937.843894,26,2.14634,0.37245,0.3215,0.8632
OG0009231,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.38917,-3841.86712,26,3.20641,0.14862,0.0515,0.3468
OG0010310,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.4642,-2944.826228,26,1.77308,0.22893,0.0855,0.3734
OG0012024,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.33694,-2853.072019,26,3.61965,0.14521,0.0421,0.2899
OG0009018,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.89488,-3898.472486,26,3.16865,0.33423,0.1871,0.5598
OG0010095,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,0.36335,-2463.723797,26,3.42266,0.02947,0.0126,0.4264
OG0010894,M0,"One dN/dS ratio for branches, ",F3x4,one-ratio,1.34744,-4394.920609,26,2.42738,0.20697,0.2254,1.0889
