	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	0.0	247.0	1121.0	1120.0	256.0	430.0	246.0	854.0	522.0	1451.0	746.0	563.0	708.0
hydrophis_curtus-AG	579.0	0.0	975.0	977.0	235.0	391.0	193.0	664.0	460.0	1345.0	608.0	601.0	653.0
hydrophis_curtus	538.0	203.0	0.0	965.0	235.0	380.0	202.0	618.0	385.0	1218.0	550.0	532.0	580.0
hydrophis_cyanocinctus	535.0	206.0	962.0	0.0	224.0	408.0	199.0	582.0	400.0	1254.0	569.0	523.0	611.0
hydrophis_elegans	579.0	207.0	1003.0	1002.0	0.0	431.0	206.0	664.0	469.0	1357.0	611.0	597.0	656.0
hydrophis_major	579.0	126.0	1027.0	1009.0	151.0	0.0	104.0	705.0	459.0	1346.0	637.0	604.0	661.0
hydrophis_ornatus	567.0	173.0	989.0	967.0	233.0	407.0	0.0	670.0	462.0	1338.0	601.0	588.0	651.0
notechis_scutatus	573.0	219.0	970.0	955.0	239.0	376.0	219.0	0.0	418.0	1306.0	587.0	618.0	664.0
pantherophis_guttatus	627.0	261.0	1076.0	1103.0	270.0	448.0	267.0	818.0	0.0	1426.0	740.0	613.0	715.0
protobothrops_mucrosquamatus	554.0	198.0	918.0	942.0	212.0	356.0	206.0	725.0	446.0	0.0	655.0	483.0	642.0
pseudonaja_textilis	588.0	227.0	993.0	993.0	243.0	390.0	221.0	672.0	462.0	1358.0	0.0	627.0	662.0
python_bivittatus	683.0	288.0	1153.0	1118.0	303.0	501.0	295.0	922.0	597.0	1554.0	846.0	0.0	771.0
thamnophis_elegans	544.0	226.0	1015.0	991.0	239.0	400.0	224.0	767.0	437.0	1371.0	682.0	579.0	0.0
