	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	0.0	247.0	1120.0	1116.0	253.0	425.0	244.0	845.0	513.0	1453.0	744.0	559.0	704.0
hydrophis_curtus-AG	578.0	0.0	978.0	979.0	245.0	386.0	194.0	661.0	457.0	1346.0	611.0	604.0	652.0
hydrophis_curtus	541.0	226.0	0.0	960.0	260.0	414.0	228.0	614.0	380.0	1215.0	549.0	534.0	579.0
hydrophis_cyanocinctus	537.0	226.0	958.0	0.0	246.0	420.0	215.0	584.0	393.0	1251.0	570.0	523.0	613.0
hydrophis_elegans	575.0	189.0	989.0	1003.0	0.0	385.0	178.0	664.0	465.0	1358.0	610.0	597.0	655.0
hydrophis_major	573.0	144.0	1025.0	1020.0	167.0	0.0	106.0	699.0	450.0	1340.0	636.0	605.0	658.0
hydrophis_ornatus	567.0	178.0	989.0	968.0	245.0	389.0	0.0	666.0	457.0	1338.0	602.0	593.0	652.0
notechis_scutatus	575.0	218.0	974.0	959.0	234.0	374.0	216.0	0.0	429.0	1306.0	581.0	619.0	671.0
pantherophis_guttatus	627.0	254.0	1070.0	1096.0	264.0	438.0	262.0	815.0	0.0	1432.0	741.0	614.0	714.0
protobothrops_mucrosquamatus	553.0	195.0	924.0	938.0	213.0	354.0	204.0	715.0	448.0	0.0	660.0	481.0	645.0
pseudonaja_textilis	587.0	225.0	990.0	991.0	237.0	392.0	221.0	670.0	458.0	1362.0	0.0	634.0	661.0
python_bivittatus	683.0	287.0	1153.0	1120.0	303.0	502.0	295.0	921.0	595.0	1554.0	847.0	0.0	768.0
thamnophis_elegans	546.0	220.0	1010.0	992.0	233.0	394.0	220.0	765.0	442.0	1367.0	681.0	583.0	0.0
