Orthogroup	Duplications (all)	Duplications (50% support)
OG0000317	10	6
OG0000318	7	4
OG0000319	6	5
OG0000320	7	4
OG0000321	6	6
OG0000322	11	10
OG0000323	13	8
OG0000324	14	9
OG0000325	14	7
OG0000326	8	8
OG0000327	12	5
OG0000328	5	3
OG0000329	17	11
OG0000330	23	23
OG0000331	9	8
OG0000332	5	4
OG0000333	13	13
OG0000334	3	3
OG0000335	3	1
OG0000336	11	4
OG0000337	6	6
OG0000338	4	2
OG0000339	6	6
OG0000340	13	10
OG0000341	7	3
OG0000342	2	2
OG0000343	4	2
OG0000344	6	5
OG0000345	6	6
OG0000346	5	5
OG0000347	11	7
OG0000348	3	1
OG0000349	15	12
OG0000350	14	12
OG0000351	7	4
OG0000352	5	3
OG0000353	5	3
OG0000354	7	3
OG0000355	15	13
OG0000356	10	6
OG0000357	4	3
OG0000358	4	4
OG0000359	4	2
OG0000360	2	1
OG0000361	15	13
OG0000362	4	1
OG0000363	3	2
OG0000364	8	3
OG0000365	6	3
OG0000366	8	4
OG0000367	12	8
OG0000368	4	3
OG0000369	4	3
OG0000370	3	2
OG0000371	4	3
OG0000372	22	22
OG0000373	7	5
OG0000374	1	1
OG0000375	4	4
OG0000376	8	7
OG0000377	7	5
OG0000378	22	22
OG0000379	10	7
OG0000380	11	4
OG0000381	8	6
OG0000382	27	27
OG0000383	11	7
OG0000384	3	2
OG0000385	7	4
OG0000386	3	2
OG0000387	4	4
OG0000388	3	2
OG0000389	12	8
OG0000390	4	2
OG0000391	9	2
OG0000392	2	1
OG0000393	3	1
OG0000394	3	2
OG0000395	3	3
OG0000396	7	5
OG0000397	2	1
OG0000398	7	5
OG0000399	2	1
OG0000400	8	5
OG0000401	15	9
OG0000402	14	9
OG0000403	3	2
OG0000404	4	2
OG0000405	3	2
OG0000406	9	6
OG0000407	3	2
OG0000408	3	1
OG0000409	1	1
OG0000410	7	5
OG0000411	6	5
OG0000412	10	7
OG0000413	2	2
OG0000414	2	2
OG0000415	3	3
OG0000416	13	8
OG0000417	5	4
OG0000418	3	3
OG0000419	8	8
OG0000420	16	16
OG0000421	2	2
OG0000422	6	4
OG0000423	2	2
OG0000424	2	2
OG0000425	2	1
OG0000426	2	1
OG0000427	2	2
OG0000428	2	2
OG0000429	4	3
OG0000430	2	2
OG0000431	3	2
OG0000432	3	3
OG0000433	2	2
OG0000434	17	15
OG0000435	13	10
OG0000436	4	3
OG0000437	2	2
OG0000438	2	2
OG0000439	2	2
OG0000440	6	5
OG0000441	2	2
OG0000442	2	1
OG0000443	2	2
OG0000444	2	2
OG0000445	2	1
OG0000446	10	10
OG0000447	6	1
OG0000448	3	2
OG0000449	2	2
OG0000450	2	2
OG0000451	2	2
OG0000452	2	2
OG0000453	4	4
OG0000454	2	1
OG0000455	3	2
OG0000456	4	4
OG0000457	2	2
OG0000458	9	6
OG0000459	6	4
OG0000460	3	3
OG0000461	10	10
OG0000462	2	2
OG0000463	3	3
OG0000464	2	2
OG0000465	2	2
OG0000466	7	4
OG0000467	5	1
OG0000468	9	7
OG0000469	12	9
OG0000470	8	8
OG0000471	12	7
OG0000472	11	10
OG0000473	23	23
OG0000474	4	3
OG0000475	2	2
OG0000476	1	1
OG0000477	1	1
OG0000478	2	1
OG0000479	2	1
OG0000480	1	1
OG0000481	1	1
OG0000482	1	1
OG0000483	2	2
OG0000484	1	1
OG0000485	1	1
