	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
crotalus_tigris	16830	15743	15770	15846	15744	16024	15736	15810	16253	15713	15944	15968	15594
hydrophis_curtus-AG	15743	24018	18409	18558	23468	22825	23446	15526	15743	15145	15641	15490	15116
hydrophis_curtus	15770	18409	20109	18602	18423	18818	18402	15623	15795	15233	15686	15577	15164
hydrophis_cyanocinctus	15846	18558	18602	20418	18586	19000	18548	15686	15890	15298	15756	15664	15227
hydrophis_elegans	15744	23468	18423	18586	24102	22927	23448	15535	15751	15149	15646	15490	15123
hydrophis_major	16024	22825	18818	19000	22927	23754	22816	15813	16028	15421	15937	15772	15386
hydrophis_ornatus	15736	23446	18402	18548	23448	22816	24003	15528	15743	15138	15646	15484	15112
notechis_scutatus	15810	15526	15623	15686	15535	15813	15528	16692	15910	15435	16047	15707	15341
pantherophis_guttatus	16253	15743	15795	15890	15751	16028	15743	15910	17017	15643	16026	15945	15652
protobothrops_mucrosquamatus	15713	15145	15233	15298	15149	15421	15138	15435	15643	16415	15526	15602	15220
pseudonaja_textilis	15944	15641	15686	15756	15646	15937	15646	16047	16026	15526	16713	15827	15462
python_bivittatus	15968	15490	15577	15664	15490	15772	15484	15707	15945	15602	15827	16771	15395
thamnophis_elegans	15594	15116	15164	15227	15123	15386	15112	15341	15652	15220	15462	15395	16078
